neuron_type,spike_times
GRN1,0.1
GRN1,0.1065666666666666
GRN1,0.1116666666666666
GRN1,0.1163333333333333
GRN1,0.1210333333333333
GRN1,0.1258333333333333
GRN1,0.1375666666666666
GRN1,0.1486666666666666
GRN1,0.1531333333333333
GRN1,0.1582666666666666
GRN1,0.1658333333333333
GRN2,0.1728
GRN1,0.1728
GRN2,0.1779333333333333
GRN1,0.1779333333333333
GRN1,0.1830666666666666
GRN2,0.1848333333333333
GRN1,0.1920666666666666
GRN2,0.1983666666666667
GRN1,0.1983666666666667
GRN1,0.2163
GRN1,0.2223
GRN1,0.2277333333333333
GRN1,0.2330333333333333
GRN1,0.2385333333333333
GRN1,0.244
GRN1,0.249
GRN1,0.2707333333333333
GRN1,0.279
GRN1,0.2863666666666666
GRN1,0.2917666666666667
GRN1,0.2978
GRN1,0.3045
GRN1,0.3104333333333333
GRN1,0.3153666666666667
GRN1,0.3469666666666666
GRN1,0.3540666666666666
GRN1,0.3606666666666667
GRN1,0.3674
GRN1,0.3731333333333333
GRN1,0.408
GRN1,0.4155666666666666
GRN1,0.4223333333333333
GRN1,0.4278666666666666
GRN1,0.4338999999999999
GRN3,0.4368333333333333
GRN1,0.4689666666666666
GRN1,0.4763
GRN1,0.4834
GRN1,0.4894333333333334
GRN1,0.4948333333333333
GRN1,0.5011666666666666
GRN1,0.5312333333333333
GRN1,0.539
GRN1,0.5458333333333334
GRN1,0.5522666666666667
GRN1,0.5582666666666667
GRN1,0.5640000000000001
GRN1,0.5702666666666667
GRN1,0.5768
GRN1,0.5829
GRN1,0.5886333333333333
GRN1,0.5951666666666666
GRN1,0.6300333333333333
GRN1,0.6374666666666666
GRN1,0.6453666666666666
GRN1,0.6523
GRN1,0.6582333333333333
GRN1,0.6645333333333333
GRN1,0.6716333333333333
GRN1,0.6780333333333333
GRN1,0.6853666666666667
GRN1,0.6931999999999999
GRN1,0.6996333333333333
GRN1,0.7045333333333333
GRN3,0.7057333333333333
GRN1,0.7367333333333334
GRN3,0.7403333333333333
GRN1,0.7486333333333333
GRN1,0.7558666666666667
GRN1,0.7628333333333334
GRN1,0.7692333333333333
GRN1,0.7765666666666666
GRN1,0.7831
GRN1,0.7883333333333333
GRN3,0.7895
GRN1,0.813
GRN1,0.8185333333333333
GRN1,0.8275666666666667
GRN1,0.8347666666666667
GRN1,0.8431333333333333
GRN1,0.8508333333333333
GRN1,0.8578333333333333
GRN1,0.8657666666666667
GRN1,0.8754666666666666
GRN1,0.8825
GRN1,0.8899666666666667
GRN1,0.8943333333333333
GRN1,0.9258
GRN1,0.9364
GRN1,0.9447333333333332
GRN1,0.9522333333333332
GRN1,0.9598333333333332
GRN1,0.9665
GRN1,0.9733333333333332
GRN1,0.9801
GRN1,0.9885666666666666
GRN1,0.9965
GRN1,1.0008333333333337
GRN3,1.0037666666666667
GRN1,1.0114
GRN1,1.0209
GRN1,1.0292666666666668
GRN1,1.0391333333333337
GRN1,1.0479
GRN1,1.0567666666666666
GRN1,1.0659
GRN1,1.0739666666666667
GRN1,1.0816
GRN1,1.0902
GRN1,1.0979666666666668
GRN1,1.1086666666666667
GRN1,1.1184333333333334
GRN1,1.1291666666666669
GRN1,1.1387
GRN3,1.1398333333333337
GRN1,1.1818000000000002
GRN1,1.1914
GRN1,1.2020666666666668
GRN1,1.2111
GRN1,1.2189666666666668
GRN1,1.2302666666666668
GRN3,1.2333666666666667
GRN1,1.2716333333333334
GRN1,1.2804666666666669
GRN1,1.2875333333333334
GRN1,1.2953666666666668
GRN1,1.3050000000000002
GRN1,1.3151666666666668
GRN1,1.3226666666666669
GRN1,1.3322333333333334
GRN1,1.3400666666666667
GRN1,1.3504666666666667
GRN1,1.3586333333333334
GRN1,1.3683
GRN1,1.3774000000000002
GRN1,1.3902666666666668
GRN1,1.3988666666666667
GRN1,1.4104666666666668
GRN1,1.4225
GRN1,1.4481000000000002
GRN1,1.4648333333333334
GRN1,1.4728333333333334
GRN1,1.4815666666666667
GRN1,1.4916666666666667
GRN1,1.5013666666666667
GRN1,1.5305000000000002
GRN1,1.5438333333333334
GRN1,1.5529333333333335
GRN1,1.5618666666666667
GRN1,1.5713666666666668
GRN1,1.5806333333333331
GRN1,1.5884
GRN1,1.5926333333333331
GRN1,1.5975
GRN1,1.6077333333333337
GRN1,1.6175000000000002
GRN1,1.6283666666666667
GRN1,1.6382333333333334
GRN1,1.6494333333333335
GRN1,1.6600333333333337
GRN1,1.6725333333333334
GRN1,1.681366666666667
GRN1,1.7041000000000002
GRN1,1.7154666666666667
GRN1,1.7267333333333337
GRN1,1.7376333333333334
GRN1,1.7499333333333331
GRN1,1.7643333333333335
GRN1,1.7766333333333335
GRN1,1.7859333333333334
GRN1,1.796266666666667
GRN1,1.8063333333333331
GRN1,1.818366666666667
GRN3,1.8221333333333336
GRN1,1.8679666666666668
GRN3,1.8719
GRN1,1.876866666666667
GRN1,1.8853666666666669
GRN1,1.8968666666666667
GRN1,1.9065
GRN1,1.9205
GRN1,1.9304666666666668
GRN1,1.9376666666666664
GRN1,1.9446
GRN1,1.9594666666666667
GRN1,1.9758666666666669
GRN1,1.9883666666666668
GRN1,1.9993
GRN1,2.0065
GRN1,2.0146333333333333
GRN1,2.028033333333333
GRN1,2.0427333333333335
GRN3,2.0442666666666667
